sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude
237,São Bernardino,Brasil,Santa Catarina,SC,"-52,96553874","-26,4732782"
238,São Bonifácio,Brasil,Santa Catarina,SC,"-48,92931196","-27,8964967"
239,São Carlos,Brasil,Santa Catarina,SC,"-53,01739427","-27,07863508"
240,São Cristovão do Sul,Brasil,Santa Catarina,SC,"-50,43462893","-27,28294667"
241,São Domingos,Brasil,Santa Catarina,SC,"-52,53722747","-26,55783037"
242,São Francisco do Sul,Brasil,Santa Catarina,SC,"-48,63757076","-26,24401788"
243,São João Batista,Brasil,Santa Catarina,SC,"-48,85700428","-27,29588056"
244,São João do Itaperiú,Brasil,Santa Catarina,SC,"-48,76776539","-26,61745405"
245,São João do Oeste,Brasil,Santa Catarina,SC,"-53,59596668","-27,09748263"
246,São João do Sul,Brasil,Santa Catarina,SC,"-49,80657139","-29,22347979"
247,São Joaquim,Brasil,Santa Catarina,SC,"-49,93674176","-28,2947125"
248,São José,Brasil,Santa Catarina,SC,"-48,61602272","-27,59031208"
249,São José do Cedro,Brasil,Santa Catarina,SC,"-53,50012411","-26,4560603"
250,São José do Cerrito,Brasil,Santa Catarina,SC,"-50,58138618","-27,6685865"
251,São Lourenço do Oeste,Brasil,Santa Catarina,SC,"-52,85133367","-26,35519016"
252,São Ludgero,Brasil,Santa Catarina,SC,"-49,17568432","-28,32689553"
253,São Martinho,Brasil,Santa Catarina,SC,"-48,97778625","-28,16449529"
254,São Miguel da Boa Vista,Brasil,Santa Catarina,SC,"-53,25455638","-26,6944751"
255,São Miguel do Oeste,Brasil,Santa Catarina,SC,"-53,51883941","-26,72642718"
256,São Pedro de Alcântara,Brasil,Santa Catarina,SC,"-48,78766959","-27,5671701"
257,Saudades,Brasil,Santa Catarina,SC,"-52,99556973","-26,91975695"
258,Schroeder,Brasil,Santa Catarina,SC,"-49,07325969","-26,42097591"
259,Seara,Brasil,Santa Catarina,SC,"-52,30285483","-27,14569762"
260,Serra Alta,Brasil,Santa Catarina,SC,"-53,04627634","-26,72477337"
261,Siderópolis,Brasil,Santa Catarina,SC,"-49,42054093","-28,59510242"
262,Sombrio,Brasil,Santa Catarina,SC,"-49,63421036","-29,10913276"
263,Sul Brasil,Brasil,Santa Catarina,SC,"-52,9642048","-26,7369362"
264,Taió,Brasil,Santa Catarina,SC,"-50,00509646","-27,1179373"
265,Tangará,Brasil,Santa Catarina,SC,"-51,24591438","-27,1010111"
266,Tigrinhos,Brasil,Santa Catarina,SC,"-53,15754198","-26,6894748"
267,Tijucas,Brasil,Santa Catarina,SC,"-48,63207056","-27,23945361"
268,Timbé do Sul,Brasil,Santa Catarina,SC,"-49,84411776","-28,83251749"
269,Timbó,Brasil,Santa Catarina,SC,"-49,27771229","-26,82290257"
270,Timbó Grande,Brasil,Santa Catarina,SC,"-50,67467414","-26,61782849"
271,Três Barras,Brasil,Santa Catarina,SC,"-50,30541937","-26,11409634"
