cd_ibge,wiki
4208005,https://pt.wikipedia.org/wiki/It%C3%A1_(Santa_Catarina)
4208104,https://pt.wikipedia.org/wiki/Itai%C3%B3polis
4208203,https://pt.wikipedia.org/wiki/Itaja%C3%AD
4208302,https://pt.wikipedia.org/wiki/Itapema
4208401,https://pt.wikipedia.org/wiki/Itapiranga_(Santa_Catarina)
4208450,https://pt.wikipedia.org/wiki/Itapo%C3%A1
4208500,https://pt.wikipedia.org/wiki/Ituporanga
4208609,https://pt.wikipedia.org/wiki/Jabor%C3%A1
4208708,https://pt.wikipedia.org/wiki/Jacinto_Machado
4208807,https://pt.wikipedia.org/wiki/Jaguaruna
4208906,https://pt.wikipedia.org/wiki/Jaragu%C3%A1_do_Sul
4208955,https://pt.wikipedia.org/wiki/Jardin%C3%B3polis_(Santa_Catarina)
4209003,https://pt.wikipedia.org/wiki/Joa%C3%A7aba
4209102,https://pt.wikipedia.org/wiki/Joinville
4209151,https://pt.wikipedia.org/wiki/Jos%C3%A9_Boiteux
4209177,https://pt.wikipedia.org/wiki/Jupi%C3%A1
4209201,https://pt.wikipedia.org/wiki/Lacerd%C3%B3polis
4209300,https://pt.wikipedia.org/wiki/Lages
4209409,https://pt.wikipedia.org/wiki/Laguna_(Santa_Catarina)
4209458,https://pt.wikipedia.org/wiki/Lajeado_Grande
4209508,https://pt.wikipedia.org/wiki/Laurentino
4209607,https://pt.wikipedia.org/wiki/Lauro_M%C3%BCller_(Santa_Catarina)
4209706,https://pt.wikipedia.org/wiki/Lebon_R%C3%A9gis
4209805,https://pt.wikipedia.org/wiki/Leoberto_Leal_(Santa_Catarina)
4209854,https://pt.wikipedia.org/wiki/Lind%C3%B3ia_do_Sul
4209904,https://pt.wikipedia.org/wiki/Lontras
4210001,https://pt.wikipedia.org/wiki/Luiz_Alves
4210035,https://pt.wikipedia.org/wiki/Luzerna_(Santa_Catarina)
4210050,https://pt.wikipedia.org/wiki/Macieira_(Santa_Catarina)
4210100,https://pt.wikipedia.org/wiki/Mafra_(Santa_Catarina)
4210209,https://pt.wikipedia.org/wiki/Major_Gercino
4210308,https://pt.wikipedia.org/wiki/Major_Vieira
4210407,https://pt.wikipedia.org/wiki/Maracaj%C3%A1
4210506,https://pt.wikipedia.org/wiki/Maravilha_(Santa_Catarina)
4210555,https://pt.wikipedia.org/wiki/Marema
4210605,https://pt.wikipedia.org/wiki/Massaranduba_(Santa_Catarina)
4210704,https://pt.wikipedia.org/wiki/Matos_Costa
4210803,https://pt.wikipedia.org/wiki/Meleiro
4210852,https://pt.wikipedia.org/wiki/Mirim_Doce
4210902,https://pt.wikipedia.org/wiki/Modelo_(Santa_Catarina)
4211009,https://pt.wikipedia.org/wiki/Monda%C3%AD
4211058,https://pt.wikipedia.org/wiki/Monte_Carlo_(Santa_Catarina)
4211108,https://pt.wikipedia.org/wiki/Monte_Castelo_(Santa_Catarina)
4211207,https://pt.wikipedia.org/wiki/Morro_da_Fuma%C3%A7a
4211256,https://pt.wikipedia.org/wiki/Morro_Grande
4211306,https://pt.wikipedia.org/wiki/Navegantes
4211405,https://pt.wikipedia.org/wiki/Nova_Erechim
4211454,https://pt.wikipedia.org/wiki/Nova_Itaberaba
4211504,https://pt.wikipedia.org/wiki/Nova_Trento
4211603,https://pt.wikipedia.org/wiki/Nova_Veneza_(Santa_Catarina)
4211652,https://pt.wikipedia.org/wiki/Novo_Horizonte_(Santa_Catarina)
4211702,https://pt.wikipedia.org/wiki/Orleans_(Santa_Catarina)
4211751,https://pt.wikipedia.org/wiki/Otac%C3%ADlio_Costa
4211801,https://pt.wikipedia.org/wiki/Ouro_(Santa_Catarina)
4211850,https://pt.wikipedia.org/wiki/Ouro_Verde_(Santa_Catarina)
4211876,https://pt.wikipedia.org/wiki/Paial
4211892,https://pt.wikipedia.org/wiki/Painel
4211900,https://pt.wikipedia.org/wiki/Palho%C3%A7a
4212007,https://pt.wikipedia.org/wiki/Palma_Sola
4212056,https://pt.wikipedia.org/wiki/Palmeira_(Santa_Catarina)
4212106,https://pt.wikipedia.org/wiki/Palmitos
4212205,https://pt.wikipedia.org/wiki/Papanduva
4212239,https://pt.wikipedia.org/wiki/Para%C3%ADso_(Santa_Catarina)
4212254,https://pt.wikipedia.org/wiki/Passo_de_Torres
4212270,https://pt.wikipedia.org/wiki/Passos_Maia
4212304,https://pt.wikipedia.org/wiki/Paulo_Lopes
4212403,https://pt.wikipedia.org/wiki/Pedras_Grandes
4212502,https://pt.wikipedia.org/wiki/Penha_(Santa_Catarina)
4212601,https://pt.wikipedia.org/wiki/Peritiba
4212650,https://pt.wikipedia.org/wiki/Pescaria_Brava
4212700,https://pt.wikipedia.org/wiki/Petrol%C3%A2ndia_(Santa_Catarina)
4212908,https://pt.wikipedia.org/wiki/Pinhalzinho_(Santa_Catarina)
4213005,https://pt.wikipedia.org/wiki/Pinheiro_Preto
4213104,https://pt.wikipedia.org/wiki/Piratuba
4213153,https://pt.wikipedia.org/wiki/Planalto_Alegre
4213203,https://pt.wikipedia.org/wiki/Pomerode
4213302,https://pt.wikipedia.org/wiki/Ponte_Alta
4213351,https://pt.wikipedia.org/wiki/Ponte_Alta_do_Norte
4213401,https://pt.wikipedia.org/wiki/Ponte_Serrada
4213500,https://pt.wikipedia.org/wiki/Porto_Belo
4213609,https://pt.wikipedia.org/wiki/Porto_Uni%C3%A3o
4213708,https://pt.wikipedia.org/wiki/Pouso_Redondo
4213807,https://pt.wikipedia.org/wiki/Praia_Grande_(Santa_Catarina)
4213906,https://pt.wikipedia.org/wiki/Presidente_Castello_Branco
4214003,https://pt.wikipedia.org/wiki/Presidente_Get%C3%BAlio
4214102,https://pt.wikipedia.org/wiki/Presidente_Nereu
4214151,https://pt.wikipedia.org/wiki/Princesa_(Santa_Catarina)
4214201,https://pt.wikipedia.org/wiki/Quilombo_(Santa_Catarina)
4214300,https://pt.wikipedia.org/wiki/Rancho_Queimado
4214409,https://pt.wikipedia.org/wiki/Rio_das_Antas
4214508,https://pt.wikipedia.org/wiki/Rio_do_Campo
4214607,https://pt.wikipedia.org/wiki/Rio_do_Oeste
4214805,https://pt.wikipedia.org/wiki/Rio_do_Sul
4214706,https://pt.wikipedia.org/wiki/Rio_dos_Cedros
4214904,https://pt.wikipedia.org/wiki/Rio_Fortuna
4215000,https://pt.wikipedia.org/wiki/Rio_Negrinho
4215059,https://pt.wikipedia.org/wiki/Rio_Rufino
4215075,https://pt.wikipedia.org/wiki/Riqueza_(Santa_Catarina)
4215109,https://pt.wikipedia.org/wiki/Rodeio_(Santa_Catarina)
4215208,https://pt.wikipedia.org/wiki/Romel%C3%A2ndia
4215307,https://pt.wikipedia.org/wiki/Salete_(Santa_Catarina)
4215356,https://pt.wikipedia.org/wiki/Saltinho_(Santa_Catarina)
4215406,https://pt.wikipedia.org/wiki/Salto_Veloso
4215455,https://pt.wikipedia.org/wiki/Sang%C3%A3o
4215505,https://pt.wikipedia.org/wiki/Santa_Cec%C3%ADlia_(Santa_Catarina)
4215554,https://pt.wikipedia.org/wiki/Santa_Helena_(Santa_Catarina)
4215604,https://pt.wikipedia.org/wiki/Santa_Rosa_de_Lima_(Santa_Catarina)
4215653,https://pt.wikipedia.org/wiki/Santa_Rosa_do_Sul
4215679,https://pt.wikipedia.org/wiki/Santa_Terezinha_(Santa_Catarina)
4215687,https://pt.wikipedia.org/wiki/Santa_Terezinha_do_Progresso
4215695,https://pt.wikipedia.org/wiki/Santiago_do_Sul
4215703,https://pt.wikipedia.org/wiki/Santo_Amaro_da_Imperatriz
4215802,https://pt.wikipedia.org/wiki/S%C3%A3o_Bento_do_Sul
4215752,https://pt.wikipedia.org/wiki/S%C3%A3o_Bernardino
4215901,https://pt.wikipedia.org/wiki/S%C3%A3o_Bonif%C3%A1cio_(Santa_Catarina)
4216008,https://pt.wikipedia.org/wiki/S%C3%A3o_Carlos_(Santa_Catarina)
4216057,https://pt.wikipedia.org/wiki/S%C3%A3o_Crist%C3%B3v%C3%A3o_do_Sul
4216107,https://pt.wikipedia.org/wiki/S%C3%A3o_Domingos_(Santa_Catarina)
4216206,https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_do_Sul
4216305,https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_Batista_(Santa_Catarina)
4216354,https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Itaperi%C3%BA
4216255,https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Oeste
4216404,https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Sul
4216503,https://pt.wikipedia.org/wiki/S%C3%A3o_Joaquim_(Santa_Catarina)
4216602,https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_(Santa_Catarina)
4216701,https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Cedro
4216800,https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Cerrito
4216909,https://pt.wikipedia.org/wiki/S%C3%A3o_Louren%C3%A7o_do_Oeste
4217006,https://pt.wikipedia.org/wiki/S%C3%A3o_Ludgero_(Santa_Catarina)
4217105,https://pt.wikipedia.org/wiki/S%C3%A3o_Martinho_(Santa_Catarina)
4217154,https://pt.wikipedia.org/wiki/S%C3%A3o_Miguel_da_Boa_Vista
4217204,https://pt.wikipedia.org/wiki/S%C3%A3o_Miguel_do_Oeste
4217253,https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_de_Alc%C3%A2ntara
4217303,https://pt.wikipedia.org/wiki/Saudades_(Santa_Catarina)
4217402,https://pt.wikipedia.org/wiki/Schroeder
4217501,https://pt.wikipedia.org/wiki/Seara_(Santa_Catarina)
4217550,https://pt.wikipedia.org/wiki/Serra_Alta
4217600,https://pt.wikipedia.org/wiki/Sider%C3%B3polis
4217709,https://pt.wikipedia.org/wiki/Sombrio
4217758,https://pt.wikipedia.org/wiki/Sul_Brasil
4217808,https://pt.wikipedia.org/wiki/Tai%C3%B3
4217907,https://pt.wikipedia.org/wiki/Tangar%C3%A1_(Santa_Catarina)
4217956,https://pt.wikipedia.org/wiki/Tigrinhos
4218004,https://pt.wikipedia.org/wiki/Tijucas
4218103,https://pt.wikipedia.org/wiki/Timb%C3%A9_do_Sul
4218202,https://pt.wikipedia.org/wiki/Timb%C3%B3_(Santa_Catarina)
4218251,https://pt.wikipedia.org/wiki/Timb%C3%B3_Grande
4218301,https://pt.wikipedia.org/wiki/Tr%C3%AAs_Barras
4218350,https://pt.wikipedia.org/wiki/Treviso_(Santa_Catarina)
4218400,https://pt.wikipedia.org/wiki/Treze_de_Maio
4218509,https://pt.wikipedia.org/wiki/Treze_T%C3%ADlias
4218608,https://pt.wikipedia.org/wiki/Trombudo_Central
4218707,https://pt.wikipedia.org/wiki/Tubar%C3%A3o_(Santa_Catarina)
4218756,https://pt.wikipedia.org/wiki/Tun%C3%A1polis
4218806,https://pt.wikipedia.org/wiki/Turvo_(Santa_Catarina)
4218855,https://pt.wikipedia.org/wiki/Uni%C3%A3o_do_Oeste
4218905,https://pt.wikipedia.org/wiki/Urubici
4218954,https://pt.wikipedia.org/wiki/Urupema
4219002,https://pt.wikipedia.org/wiki/Urussanga
4219101,https://pt.wikipedia.org/wiki/Varge%C3%A3o
4219150,https://pt.wikipedia.org/wiki/Vargem_(Santa_Catarina)
4219176,https://pt.wikipedia.org/wiki/Vargem_Bonita_(Santa_Catarina)
4219200,https://pt.wikipedia.org/wiki/Vidal_Ramos_(Santa_Catarina)
4219309,https://pt.wikipedia.org/wiki/Videira_(Santa_Catarina)
4219358,https://pt.wikipedia.org/wiki/Vitor_Meireles_(Santa_Catarina)
4219408,https://pt.wikipedia.org/wiki/Witmarsum
4219507,https://pt.wikipedia.org/wiki/Xanxer%C3%AA
4219606,https://pt.wikipedia.org/wiki/Xavantina
4219705,https://pt.wikipedia.org/wiki/Xaxim_(Santa_Catarina)
4219853,https://pt.wikipedia.org/wiki/Zort%C3%A9a
