sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude,cd_ibge,Match_Type_IBGE,Match_Score_IBGE
114,Imbuia,Brasil,Santa Catarina,SC,"-49,42772934","-27,49460425",4207403,Exact,100
115,Indaial,Brasil,Santa Catarina,SC,"-49,24014046","-26,906256",4207502,Exact,100
116,Iomerê,Brasil,Santa Catarina,SC,"-51,2406191","-27,00107805",4207577,Exact,100
117,Ipira,Brasil,Santa Catarina,SC,"-51,77085362","-27,40970885",4207601,Exact,100
118,Iporã do Oeste,Brasil,Santa Catarina,SC,"-53,53951188","-26,99601668",4207650,Exact,100
119,Ipuaçu,Brasil,Santa Catarina,SC,"-52,45429691","-26,6325601",4207684,Exact,100
120,Ipumirim,Brasil,Santa Catarina,SC,"-52,14054087","-27,06832636",4207700,Exact,100
121,Iraceminha,Brasil,Santa Catarina,SC,"-53,27605779","-26,824065",4207759,Exact,100
122,Irani,Brasil,Santa Catarina,SC,"-51,90410792","-27,01618669",4207809,Exact,100
123,Irati,Brasil,Santa Catarina,SC,"-52,89501136","-26,6572269",4207858,Exact,100
124,Irineópolis,Brasil,Santa Catarina,SC,"-50,80390005","-26,2366129",4207908,Exact,100
125,Itá,Brasil,Santa Catarina,SC,"-52,32918252","-27,28177872",4208005,Exact,100
126,Itaiópolis,Brasil,Santa Catarina,SC,"-49,9087562","-26,33712641",4208104,Exact,100
127,Itajaí,Brasil,Santa Catarina,SC,"-48,65702321","-26,90742624",4208203,Exact,100
128,Itapema,Brasil,Santa Catarina,SC,"-48,61739939","-27,09593788",4208302,Exact,100
129,Itapiranga,Brasil,Santa Catarina,SC,"-53,71480206","-27,17537509",4208401,Exact,100
130,Itapoá,Brasil,Santa Catarina,SC,"-48,60416761","-26,00604789",4208450,Exact,100
131,Ituporanga,Brasil,Santa Catarina,SC,"-49,6034147","-27,41485849",4208500,Exact,100
132,Jaborá,Brasil,Santa Catarina,SC,"-51,74335384","-27,17285309",4208609,Exact,100
133,Jacinto Machado,Brasil,Santa Catarina,SC,"-49,76176866","-29,00141861",4208708,Exact,100
134,Jaguaruna,Brasil,Santa Catarina,SC,"-49,04912899","-28,62496369",4208807,Exact,100
